,mlp,mlp_cos
2021-07-10 00:00:00,101.69812406552533,-0.19245554953462446
2021-07-10 01:00:00,106.06607827552028,-0.2625959887687441
2021-07-10 02:00:00,111.67926611001212,-0.35338483400615944
2021-07-10 03:00:00,98.30709523208927,-0.13602505411720164
2021-07-10 04:00:00,113.45469952899539,-0.380516544917428
2021-07-10 05:00:00,106.22449556292635,-0.2630268108460874
2021-07-10 06:00:00,110.0230507895009,-0.32576683447100335
2021-07-10 07:00:00,110.23817098681982,-0.330536890019525
2021-07-10 08:00:00,111.85330527251034,-0.3595649185384225
2021-07-10 09:00:00,111.09066052788044,-0.34895724100881703
2021-07-10 10:00:00,109.47912002857663,-0.32283913037669987
2021-07-10 11:00:00,105.73104572521238,-0.2607446670574764
2021-07-10 12:00:00,110.98421026945354,-0.34779318564799167
2021-07-10 13:00:00,111.93761261169706,-0.3636318779178463
2021-07-10 14:00:00,111.01895022061406,-0.3490594791479114
2021-07-10 15:00:00,109.20727880826075,-0.3196741889603841
2021-07-10 16:00:00,110.62091119051973,-0.3440760431651157
2021-07-10 17:00:00,111.19221894466368,-0.3535851631461629
2021-07-10 18:00:00,110.35781686500634,-0.33909516803419676
2021-07-10 19:00:00,110.86317100626991,-0.3474387632603658
2021-07-10 20:00:00,111.4133887218197,-0.3568835279947314
2021-07-10 21:00:00,111.17352872084703,-0.3529493822725681
2021-07-10 22:00:00,110.85137994753232,-0.3476674353274874
2021-07-10 23:00:00,111.31890845581576,-0.3555125614954714
2021-07-11 00:00:00,110.40446896764048,-0.35027997872374905
2021-07-11 01:00:00,111.73545816922929,-0.3723916870206661
2021-07-11 02:00:00,111.9003572677062,-0.37434603192142474
2021-07-11 03:00:00,111.4975456047429,-0.3664571734537534
2021-07-11 04:00:00,112.66506408943866,-0.3856108514542563
2021-07-11 05:00:00,111.2517748943578,-0.3600407188939307
2021-07-11 06:00:00,112.18746512744951,-0.375113671236945
2021-07-11 07:00:00,111.81222332406446,-0.36771163833305265
2021-07-11 08:00:00,109.17035445390415,-0.3218977602021436
2021-07-11 09:00:00,109.91280517114333,-0.3336670797340318
2021-07-11 10:00:00,108.66289264375737,-0.3118463650285718
2021-07-11 11:00:00,107.11470499309182,-0.2852243639851404
2021-07-11 12:00:00,106.49823897954074,-0.27419114388566
2021-07-11 13:00:00,104.43568092220619,-0.23933027652265848
2021-07-11 14:00:00,105.01263543951391,-0.2499819870743232
2021-07-11 15:00:00,103.80080880373357,-0.23129756359231976
2021-07-11 16:00:00,104.77104839681652,-0.24910633315448638
2021-07-11 17:00:00,104.17988761388554,-0.23952041999204293
2021-07-11 18:00:00,106.85755910025742,-0.28582123211400656
2021-07-11 19:00:00,106.06245651816592,-0.2724373428705167
2021-07-11 20:00:00,105.35410423498426,-0.2604846128931548
2021-07-11 21:00:00,108.53325460100423,-0.3158388348923942
2021-07-11 22:00:00,107.14904577475555,-0.2919341892962529
