,index,site_b,time_b,hs_b,hmax_b,tp_b,tm01_b,tm02_b,dpm_b,dm_b,dspr_b,hs_sa_b,hmax_sa_b,tm01_sa_b,tm02_sa_b,dm_sa_b,dspr_sa_b,hs_sw_b,hmax_sw_b,tm01_sw_b,tm02_sw_b,dm_sw_b,dspr_sw_b,index,site_a,time_a,hs_a,hmax_a,tp_a,tm01_a,tm02_a,dpm_a,dm_a,dspr_a,hs_sa_a,hmax_sa_a,tm01_sa_a,tm02_sa_a,dm_sa_a,dspr_sa_a,hs_sw_a,hmax_sw_a,tm01_sw_a,tm02_sw_a,dm_sw_a,dspr_sw_a,index,site_c,time_c,hs_c,hmax_c,tp_c,tm01_c,tm02_c,dpm_c,dm_c,dspr_c,hs_sa_c,hmax_sa_c,tm01_sa_c,tm02_sa_c,dm_sa_c,dspr_sa_c,hs_sw_c,hmax_sw_c,tm01_sw_c,tm02_sw_c,dm_sw_c,dspr_sw_c
0,26,563.0,2023-02-12 00:00:00,2.0984907619629336,3.6532599454199155,12.07185,9.337071892309828,8.398989541518816,91.05724,94.040695,26.80895010413942,0.9410634579989995,1.7050222129833486,5.490096210365476,5.07184652779125,105.22385783733526,37.473938099221904,1.9064861345830715,3.244672945649018,11.156087856493956,10.988362419894353,93.00122610825431,23.072200292773182,13,564.0,2023-02-12 00:00:00,2.0749077291464615,3.6436692737710064,12.015715,8.727855075734668,7.542460722405241,95.94138,97.63725,32.762494909916825,0.9853478114432018,1.80324949877183,4.883961613972424,4.439382660068654,105.40821867956157,55.72831418896418,1.8572586442203014,3.161722446882591,11.104435278503797,10.935972666427466,97.03070115612493,22.29293343123737,0,565.0,2023-02-12 00:00:00,2.1173785639698277,3.6958931599048532,12.020832,9.150094530153408,8.127342199123426,101.11065,102.99385,28.00236234055237,0.9805936905784877,1.7805828388065057,5.410559924188267,4.921395605774165,111.11053352189467,40.62702533670039,1.9108399294742293,3.254637338691025,11.055175673271462,10.885896823398305,102.04965743462387,23.300793034134543
1,27,563.0,2023-02-12 01:00:00,2.1485629225244143,3.7645509703413294,12.16456,8.971717684978783,7.758499846047441,92.02376,94.0659,29.96348892849308,0.9802730975497317,1.7936317692931356,4.9077030504240025,4.451776488797754,101.86505450172189,49.60298178219399,1.941248696966381,3.3012146086746217,11.252758090416691,11.080964976756869,93.64039611449519,22.46859521617544,14,564.0,2023-02-12 01:00:00,2.102605383539314,3.6910501810499396,12.0862875,8.803131472629987,7.583544029859078,96.70691,97.803955,32.769025277311655,0.9795084506315185,1.7942021696373227,4.820436851197798,4.382514047081036,103.63009247817126,57.59699461271017,1.8905208191225404,3.2166533050728305,11.192155430806032,11.019489597021902,97.47093311962931,21.76650641382022,1,565.0,2023-02-12 01:00:00,2.1244853489860014,3.705537130438984,12.094927,9.251982076822413,8.20348642549959,101.96493,103.304825,28.006147231459185,0.9601069858321877,1.744641974577858,5.372900644124095,4.881175246924383,110.15849303498021,42.448311257377036,1.9279786411913624,3.2812513153843716,11.141437937743332,10.96749245777675,102.5561983969531,22.97067498729625
2,28,563.0,2023-02-12 02:00:00,2.1986558953066355,3.863591870988355,12.242804,8.767136683337446,7.478741502068237,92.91736,94.06694,32.09861091432053,1.0204010497148925,1.8737713115942178,4.651077082194004,4.240823352726224,97.2139046849511,55.1150420358905,1.9756846620171158,3.357080548099861,11.339896486541443,11.164174645023976,94.26383370684755,21.94943813384472,15,564.0,2023-02-12 02:00:00,2.123633098412761,3.7221738353656604,12.148237,8.95356971591431,7.717653890451403,97.434975,98.11525,31.844445767863508,0.963065823586597,1.7640835962860515,4.826711758976473,4.384448874542227,102.45292729881672,57.07689604122412,1.921695495714873,3.267092455215719,11.274263598532928,11.097341812365087,97.93346591352582,21.30498803419513,2,565.0,2023-02-12 02:00:00,2.129204204219426,3.7088590823410845,12.164099,9.38771476637062,8.331167907506222,102.83222,103.6913,27.601314303299812,0.9378214308846936,1.7039712018782704,5.380152313152535,4.886470205402871,109.19167350091692,42.89331645771436,1.943052300632984,3.305159201798273,11.228104516123633,11.04934209677221,103.11647179154997,22.66310257955362
3,29,563.0,2023-02-12 03:00:00,2.2567255609561725,3.9799676773699657,12.303482,8.490090190555813,7.150030617727769,93.71694,93.91974,34.22040453782365,1.0797940958010979,1.9892616419484621,4.423676942374447,4.060159165076056,90.51012110516527,57.19339875725022,2.0089261786990638,3.4117224271450834,11.413209353072334,11.233912740083166,94.83183110355594,21.50146436011216,16,564.0,2023-02-12 03:00:00,2.144019478801801,3.756590288671109,12.212134,9.031323506583123,7.752073689074631,98.13084,98.435104,31.18844216851716,0.9543405369634447,1.7498338547939878,4.774163131370642,4.325497327854591,101.01369515066622,56.6093396491657,1.9480191998665721,3.310071434436469,11.352924656631389,11.171533615034182,98.41272213723826,20.920104908620633,3,565.0,2023-02-12 03:00:00,2.137295217361647,3.723661987912185,12.231428,9.443320065928452,8.317085697004037,103.713005,104.153656,27.55056153579016,0.9258089281307851,1.6850475798754436,5.291122920082352,4.771514062832638,108.09009240202857,44.24986936806207,1.9567109136372878,3.325732936811655,11.312952771489647,11.129266161747491,103.7582080865223,22.369085193353648
4,30,563.0,2023-02-12 04:00:00,2.3169831801724357,4.097769984713667,12.355118,8.244731707928993,6.914674723872065,94.472786,93.62103,36.39539613433862,1.1500873362999706,2.12120277188751,4.3114122844452245,3.993776796790237,81.57651396258427,56.75016677255734,2.0380312024269354,3.460211816033027,11.47652488170378,11.293847247702281,95.37912964346441,21.120047198314406,17,564.0,2023-02-12 04:00:00,2.1747792181639714,3.8209905704178295,12.283631,8.873152778373544,7.505725842851444,98.828156,98.62155,32.1507424271399,0.9784295107461086,1.800103166141541,4.557181631048572,4.130925063072061,97.65874344486804,58.22950676389068,1.9695257556869732,3.344809412493444,11.429383544092756,11.243577437168865,98.94373458663594,20.592494420321728,4,565.0,2023-02-12 04:00:00,2.146540473496759,3.743304077806656,12.302454,9.432431364570748,8.226449116752182,104.597435,104.66945,27.98072814933987,0.9198663220730963,1.6785095357944326,5.1400532026153565,4.617398537919136,106.7457955049423,46.75252026262759,1.96865896588545,3.3442414549623583,11.398771739096848,11.210188344946586,104.47505022981846,22.08505828740313
5,31,563.0,2023-02-12 05:00:00,2.3749317568653976,4.207265002743646,12.403982,8.065145417444478,6.771422717898085,95.223625,93.30832,38.49826764075716,1.220179737352612,2.250296406908061,4.2853578590696095,3.9991322792291384,71.93493303977107,55.43035497582998,2.063688425678753,3.501861504470975,11.527504702299137,11.342095120222618,95.9332940049452,20.802320648745884,18,564.0,2023-02-12 05:00:00,2.2116772469288355,3.896756277252009,12.358892,8.646815976485174,7.2429053172160955,99.50929,98.682495,34.16176538892359,1.0234332447465948,1.8874499246810414,4.379129085931134,4.000561779779097,92.2699880818592,59.926959660324556,1.987133539999968,3.372877895799602,11.49958213892686,11.309971115776861,99.49979848662326,20.298459993809978,5,565.0,2023-02-12 05:00:00,2.163233553267914,3.781474362089562,12.377633,9.297509284147923,7.985944216014371,105.47018,105.13945,29.178011666959627,0.9318378272944956,1.7067271010056548,4.887797439612628,4.388846451179769,104.48234805381975,50.582172484420845,1.9803217133587248,3.362231443733889,11.483487734203807,11.290519761760022,105.23187581485342,21.80214055152887
6,32,563.0,2023-02-12 06:00:00,2.426794750017105,4.302344389933433,12.44137,7.961403403239079,6.703117427726003,95.98497,93.15765,39.8688224747877,1.2783647375404124,2.3562496510924387,4.303376100307523,4.033078750455597,64.3349225923534,53.817930217904575,2.088836074246958,3.5445344105905106,11.558153373810056,11.371252668387555,96.50176145061096,20.53943880039001,19,564.0,2023-02-12 06:00:00,2.248162719739471,3.9698917672609904,12.440471,8.443065671207773,7.041747022811753,100.21688,98.70499,36.022182729345616,1.0736791010590805,1.982201203761235,4.280926006210531,3.9434933535251058,85.4994311574402,59.47411478769965,2.0010348464416676,3.395544991514079,11.560988702780755,11.36831137776238,100.09760832237126,20.037157366972956,6,565.0,2023-02-12 06:00:00,2.1946289538490293,3.8519356049475486,12.463905,8.979984335673413,7.59136403740207,106.36624,105.41594,31.58663350418952,0.9799121518198526,1.8020641631503609,4.58071667598057,4.157899514108601,99.5498904640412,54.50394482555158,1.990712922323692,3.378029775422812,11.565221744047046,11.36836044934212,106.04151042655946,21.55581181031562
7,33,563.0,2023-02-12 07:00:00,2.4648605693369094,4.369181476210738,12.463246,7.939914173228286,6.7116531304558595,96.767715,93.28177,40.33205784703467,1.3164131283255798,2.423759658637915,4.354647856491399,4.090271841034299,60.218044174705824,52.466851423519415,2.1100399379300887,3.579532789341794,11.573632995288254,11.38592447437147,97.11109982404412,20.331567411717202,20,564.0,2023-02-12 07:00:00,2.2832614237014344,4.039366778168778,12.522447,8.261476839583136,6.88433895946354,101.014435,98.75214,37.386960067975046,1.1265502738894213,2.0803111080240093,4.235789659017929,3.9304196365089905,78.0650404710641,57.1392486362879,2.0112484691752113,3.4110005102004544,11.613509368443728,11.418571445713662,100.80218677515444,19.82489978535238,7,565.0,2023-02-12 07:00:00,2.240671155648377,3.954169151843353,12.563913,8.524761999553183,7.093929635033917,107.276634,105.41789,34.70818639206056,1.0659045105633569,1.9673728178326237,4.3113940707131215,3.9580745358203195,91.115931560929,55.34603797136551,1.9968668662991715,3.386609861556337,11.64072047485867,11.440787180493826,106.88004526836855,21.35886038324028
8,34,563.0,2023-02-12 08:00:00,2.488989484078097,4.409981363612942,12.471202,7.962332864185021,6.756794499874094,97.566734,93.6481,40.39051923019052,1.3379292950754107,2.460669673406409,4.415362944132649,4.151542431592233,58.64416250467184,51.69695814513457,2.125237931871037,3.605315105906479,11.578718394635317,11.390444470874183,97.75955307638537,20.175278054286203,21,564.0,2023-02-12 08:00:00,2.3115065201844796,4.092442583021797,12.587459,8.162960050133929,6.822567442917031,101.87105,98.9203,38.21356340545844,1.1693416841334494,2.1577669249993425,4.25452487989015,3.969000543330284,72.00539375804914,54.80085315168704,2.018710154927389,3.4227089247454923,11.654984812946381,11.458627353062989,101.5756714287113,19.659326062894724,8,565.0,2023-02-12 08:00:00,2.287912682769115,4.050670507497725,12.659984,8.198586453322411,6.817638527245033,108.206,105.25636,37.48818499114841,1.1509620386509394,2.125220170351316,4.235679020443605,3.9360905648316913,80.93111568748725,53.69776844172816,2.0023387450236574,3.3940094143061783,11.705444760467927,11.503776242783603,107.72375813367552,21.20069059831026
9,35,563.0,2023-02-12 09:00:00,2.502243935342859,4.430136599090314,12.461949,8.013778424644915,6.8220611118187895,98.39097,94.24901,40.19352757245261,1.3456794357143411,2.4723726780657462,4.477265471163552,4.208305782087701,58.92588642289496,51.485795340938445,2.1364392029951813,3.624317266268674,11.572625659894097,11.384272508896666,98.46031876700775,20.048598331886957,22,564.0,2023-02-12 09:00:00,2.3328986901435775,4.130939944436686,12.622701,8.108504519032516,6.803045383790378,102.7152,99.173965,38.89599546978156,1.2030761393940543,2.217844631104063,4.296924483297982,4.02223237192675,67.55817149046356,53.19797052356118,2.023253107574494,3.429459731375738,11.680854764020863,11.48384735722852,102.34674512734225,19.521935400683873,9,565.0,2023-02-12 09:00:00,2.3255585304719486,4.121030086707071,12.7244425,8.059659173150806,6.739244478566833,109.141174,105.23013,39.41999078428752,1.2120138635452171,2.235236628479094,4.2738092610659715,4.000455403654562,72.5950123381291,52.18014782166197,2.0089543441711863,3.4042747050817135,11.754459914676543,11.552371118272985,108.55843562137159,21.054334091002747
