Date/Time,%       Time,Hsig,Tm02,Dir,PkDir,Watlev,Hswell,Tp_smoothed,site,site_name,lon,lat,run
2021-06-24 06:00:00,20210624.06,1.24241,5.7539,84.745,97.5,-0.05,0.50576,9.8335,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_0000
2021-06-24 06:00:00,20210624.06,1.11483,5.5273,77.647,102.5,-0.05,0.39947,5.9545,3, Palm Beach WRB,153.48481,-28.09982,20210624_0000
2021-06-24 06:00:00,20210624.06,1.36655,5.9592,88.245,117.5,-0.05,0.51761,9.4889,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_0000
2021-06-24 07:00:00,20210624.07,1.33737,6.1256,91.219,117.5,0.4,0.51045,9.4467,0, Brisbane WRB,153.6315552,-27.48715254,20210624_0000
2021-06-24 07:00:00,20210624.07,1.1816,5.8473,88.204,107.5,0.4,0.47745,9.812,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_0000
2021-06-24 07:00:00,20210624.07,1.24485,5.7605,84.492,97.5,0.4,0.50484,9.8327,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_0000
2021-06-24 07:00:00,20210624.07,1.12615,5.5653,77.038,102.5,0.4,0.39561,6.076,3, Palm Beach WRB,153.48481,-28.09982,20210624_0000
2021-06-24 07:00:00,20210624.07,1.36228,5.9285,85.823,117.5,0.4,0.50317,9.4001,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_0000
2021-06-24 08:00:00,20210624.08,1.33212,6.0722,88.769,117.5,0.81,0.49691,9.3839,0, Brisbane WRB,153.6315552,-27.48715254,20210624_0000
2021-06-24 08:00:00,20210624.08,1.17968,5.8639,87.465,107.5,0.81,0.46504,9.7803,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_0000
2021-06-24 08:00:00,20210624.08,1.24776,5.7643,84.236,97.5,0.81,0.50412,9.8326,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_0000
2021-06-24 08:00:00,20210624.08,1.13616,5.6004,76.33,102.5,0.81,0.39084,6.1636,3, Palm Beach WRB,153.48481,-28.09982,20210624_0000
2021-06-24 08:00:00,20210624.08,1.36158,5.8639,82.877,47.5,0.81,0.48918,9.3369,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_0000
2021-06-24 09:00:00,20210624.09,1.33049,5.9998,85.834,47.5,1.08,0.48318,9.3268,0, Brisbane WRB,153.6315552,-27.48715254,20210624_0000
2021-06-24 09:00:00,20210624.09,1.17839,5.882,86.51,107.5,1.08,0.45364,9.7493,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_0000
2021-06-24 09:00:00,20210624.09,1.2555,5.7755,83.664,97.5,1.08,0.5037,9.832,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_0000
2021-06-24 09:00:00,20210624.09,1.14041,5.6175,75.929,102.5,1.08,0.38778,6.2021,3, Palm Beach WRB,153.48481,-28.09982,20210624_0000
2021-06-24 09:00:00,20210624.09,1.36027,5.8166,79.989,42.5,1.08,0.47567,6.4284,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_0000
2021-06-24 10:00:00,20210624.1,1.32573,5.9455,83.028,47.5,1.16,0.46922,6.4892,0, Brisbane WRB,153.6315552,-27.48715254,20210624_0000
2021-06-24 10:00:00,20210624.1,1.17544,5.8952,85.491,107.5,1.16,0.44243,6.4081,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_0000
2021-06-24 10:00:00,20210624.1,1.26665,5.7922,82.96,97.5,1.16,0.50348,9.8295,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_0000
2021-06-24 10:00:00,20210624.1,1.14631,5.641,75.101,102.5,1.16,0.38143,6.26,3, Palm Beach WRB,153.48481,-28.09982,20210624_0000
2021-06-24 10:00:00,20210624.1,1.35713,5.771,77.013,37.5,1.16,0.46221,6.3987,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_0000
2021-06-24 11:00:00,20210624.11,1.31973,5.91,80.325,42.5,1.03,0.45554,6.475,0, Brisbane WRB,153.6315552,-27.48715254,20210624_0000
2021-06-24 11:00:00,20210624.11,1.16805,5.8976,84.283,107.5,1.03,0.42912,6.4425,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_0000
2021-06-24 11:00:00,20210624.11,1.28047,5.8115,82.1,97.5,1.03,0.50315,6.0859,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_0000
2021-06-24 11:00:00,20210624.11,1.15118,5.65,74.153,102.5,1.03,0.37493,6.2984,3, Palm Beach WRB,153.48481,-28.09982,20210624_0000
2021-06-24 11:00:00,20210624.11,1.35755,5.6916,73.71,37.5,1.03,0.44901,6.3848,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_0000
2021-06-24 12:00:00,20210624.12,1.31705,5.8781,77.558,42.5,-0.11,0.44234,6.4746,0, Brisbane WRB,153.6315552,-27.48715254,20210624_1200
2021-06-24 12:00:00,20210624.12,1.16249,5.8927,83.197,107.5,-0.11,0.4199,6.457,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_1200
2021-06-24 12:00:00,20210624.12,1.29541,5.8258,81.153,97.5,-0.11,0.50251,6.1524,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_1200
2021-06-24 12:00:00,20210624.12,1.15903,5.645,72.526,102.5,-0.11,0.36548,6.3256,3, Palm Beach WRB,153.48481,-28.09982,20210624_1200
2021-06-24 12:00:00,20210624.12,1.35942,5.6942,71.043,37.5,-0.11,0.43623,6.3847,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_1200
2021-06-24 13:00:00,20210624.13,1.33902,5.8619,73.166,37.5,-0.374,0.42812,6.5132,0, Brisbane WRB,153.6315552,-27.48715254,20210624_1200
2021-06-24 13:00:00,20210624.13,1.16856,5.8854,80.907,107.5,-0.374,0.40787,6.498,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_1200
2021-06-24 13:00:00,20210624.13,1.31466,5.8471,79.935,97.5,-0.374,0.50093,6.2454,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_1200
2021-06-24 13:00:00,20210624.13,1.17076,5.6496,70.974,102.5,-0.374,0.35989,6.3527,3, Palm Beach WRB,153.48481,-28.09982,20210624_1200
2021-06-24 13:00:00,20210624.13,1.35838,5.7035,68.224,37.5,-0.374,0.42114,6.4052,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_1200
2021-06-24 14:00:00,20210624.14,1.34664,5.8555,70.278,37.5,-0.6268,0.41737,6.5606,0, Brisbane WRB,153.6315552,-27.48715254,20210624_1200
2021-06-24 14:00:00,20210624.14,1.17068,5.8791,78.605,107.5,-0.6268,0.39561,6.535,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_1200
2021-06-24 14:00:00,20210624.14,1.33912,5.8498,78.008,97.5,-0.6268,0.49796,6.2869,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_1200
2021-06-24 14:00:00,20210624.14,1.17854,5.658,69.146,52.5,-0.6268,0.34977,6.3921,3, Palm Beach WRB,153.48481,-28.09982,20210624_1200
2021-06-24 14:00:00,20210624.14,1.36927,5.7043,65.26,37.5,-0.6268,0.41116,6.4264,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_1200
2021-06-24 15:00:00,20210624.15,1.34297,5.8584,68.249,37.5,-0.7654,0.40882,6.617,0, Brisbane WRB,153.6315552,-27.48715254,20210624_1200
2021-06-24 15:00:00,20210624.15,1.17951,5.8813,76.748,52.5,-0.7654,0.38707,6.5832,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_1200
2021-06-24 15:00:00,20210624.15,1.36394,5.8582,76.192,97.5,-0.7654,0.4953,6.3297,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_1200
2021-06-24 15:00:00,20210624.15,1.18959,5.6712,67.171,47.5,-0.7654,0.34035,6.4371,3, Palm Beach WRB,153.48481,-28.09982,20210624_1200
2021-06-24 15:00:00,20210624.15,1.37712,5.6998,62.439,37.5,-0.7654,0.40235,6.4612,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_1200
2021-06-24 16:00:00,20210624.16,1.33154,5.8657,66.863,37.5,-0.7291,0.40263,6.6626,0, Brisbane WRB,153.6315552,-27.48715254,20210624_1200
2021-06-24 16:00:00,20210624.16,1.18393,5.8781,75.054,52.5,-0.7291,0.37797,6.6322,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_1200
