,mlp
2021-07-10 00:00:00,1.0529133077318746
2021-07-10 01:00:00,1.0427813717401102
2021-07-10 02:00:00,1.0359470850140786
2021-07-10 03:00:00,1.0564952894999142
2021-07-10 04:00:00,1.1285051810948734
2021-07-10 05:00:00,1.2188479025042855
2021-07-10 06:00:00,1.3347688293661202
2021-07-10 07:00:00,1.5710395987371304
2021-07-10 08:00:00,1.8904971386563234
2021-07-10 09:00:00,2.2269104655137655
2021-07-10 10:00:00,2.4220553371902582
2021-07-10 11:00:00,2.4787228980308327
2021-07-10 12:00:00,2.501282371797973
2021-07-10 13:00:00,2.511490354167302
2021-07-10 14:00:00,2.5475494670960575
2021-07-10 15:00:00,2.584427939147003
2021-07-10 16:00:00,2.6084355114129414
2021-07-10 17:00:00,2.588846953366856
2021-07-10 18:00:00,2.519331210960866
2021-07-10 19:00:00,2.4119927650394377
2021-07-10 20:00:00,2.326213932404166
2021-07-10 21:00:00,2.26560777490925
2021-07-10 22:00:00,2.2013807227815376
2021-07-10 23:00:00,2.225106639529743
2021-07-11 00:00:00,2.171030456284652
2021-07-11 01:00:00,2.1053082479489538
2021-07-11 02:00:00,2.045031735893589
2021-07-11 03:00:00,1.984020594965286
2021-07-11 04:00:00,1.92051817980232
2021-07-11 05:00:00,1.8676971216916105
2021-07-11 06:00:00,1.8175831315226074
2021-07-11 07:00:00,1.7979392172481536
2021-07-11 08:00:00,1.7303607690419298
2021-07-11 09:00:00,1.7525489015172853
2021-07-11 10:00:00,1.7421114066292915
2021-07-11 11:00:00,1.7397744263251493
2021-07-11 12:00:00,1.7443230414309319
2021-07-11 13:00:00,1.6976974709982908
2021-07-11 14:00:00,1.7210431104741426
2021-07-11 15:00:00,1.7431987736750074
2021-07-11 16:00:00,1.7177869854097731
2021-07-11 17:00:00,1.7486296235346328
2021-07-11 18:00:00,1.7502549966163492
2021-07-11 19:00:00,1.7439115197060144
2021-07-11 20:00:00,1.7430252349972535
2021-07-11 21:00:00,1.7168405465885954
2021-07-11 22:00:00,1.7658681863623718
2021-07-11 23:00:00,1.7460717282343692
2021-07-12 00:00:00,1.5721419886715693
2021-07-12 01:00:00,1.5930444192675435
2021-07-12 02:00:00,1.556215212069988
2021-07-12 03:00:00,1.5228348880146882
2021-07-12 04:00:00,1.5659265060827399
2021-07-12 05:00:00,1.5468629546742223
2021-07-12 06:00:00,1.504505511338323
2021-07-12 07:00:00,1.507017717799063
2021-07-12 08:00:00,1.471009028667664
2021-07-12 09:00:00,1.5163939963277142
2021-07-12 10:00:00,1.5115677714129057
2021-07-12 11:00:00,1.5116360204343715
2021-07-12 12:00:00,1.492214832649532
2021-07-12 13:00:00,1.4631315543708958
2021-07-12 14:00:00,1.4470052001972278
2021-07-12 15:00:00,1.3908692483581686
2021-07-12 16:00:00,1.3759114854014456
2021-07-12 17:00:00,1.3364729062694076
2021-07-12 18:00:00,1.3300954002951313
2021-07-12 19:00:00,1.2835118605976916
2021-07-12 20:00:00,1.2855052410405587
2021-07-12 21:00:00,1.2441083907392319
2021-07-12 22:00:00,1.2314290413271392
2021-07-12 23:00:00,1.2300299574807063
2021-07-13 00:00:00,1.2258334279856729
2021-07-13 01:00:00,1.1979760312027876
2021-07-13 02:00:00,1.1970754824592507
2021-07-13 03:00:00,1.1503397674939169
2021-07-13 04:00:00,1.1353704704457677
2021-07-13 05:00:00,1.1016503139206617
2021-07-13 06:00:00,1.0681581614306654
2021-07-13 07:00:00,1.0388285990853212
2021-07-13 08:00:00,1.0373242776987879
2021-07-13 09:00:00,1.018461280061109
2021-07-13 10:00:00,1.0273680268053627
2021-07-13 11:00:00,1.0094263485455681
2021-07-13 12:00:00,0.9724549408305844
2021-07-13 13:00:00,0.9553491618702543
2021-07-13 14:00:00,0.960505822806126
2021-07-13 15:00:00,0.9697146556256384
2021-07-13 16:00:00,0.9483995538318659
2021-07-13 17:00:00,0.9738794001894497
2021-07-13 18:00:00,0.9686616788221504
2021-07-13 19:00:00,0.9850649113578727
2021-07-13 20:00:00,0.980875799170626
2021-07-13 21:00:00,0.964178257562426
2021-07-13 22:00:00,0.9592591449850046
2021-07-13 23:00:00,1.0071819739516839
2021-07-14 00:00:00,1.0304994926900026
2021-07-14 01:00:00,1.0818437112435229
2021-07-14 02:00:00,1.114367915425284
2021-07-14 03:00:00,1.1361148520585946
2021-07-14 04:00:00,1.1294563521809564
2021-07-14 05:00:00,1.136379737117356
2021-07-14 06:00:00,1.1448073090482773
2021-07-14 07:00:00,1.2007829318606842
2021-07-14 08:00:00,1.2356476994527634
2021-07-14 09:00:00,1.310698817007179
2021-07-14 10:00:00,1.38456489223717
2021-07-14 11:00:00,1.503736822219587
2021-07-14 12:00:00,1.5818176819395613
2021-07-14 13:00:00,1.5614524224243864
2021-07-14 14:00:00,1.5743699251006993
2021-07-14 15:00:00,1.5894980192840393
2021-07-14 16:00:00,1.5869407329582357
2021-07-14 17:00:00,1.5646319705523835
2021-07-14 18:00:00,1.5552051546882029
2021-07-14 19:00:00,1.5583468884074374
2021-07-14 20:00:00,1.514263401505349
2021-07-14 21:00:00,1.46776553693795
2021-07-14 22:00:00,1.4547926646374139
2021-07-14 23:00:00,1.4131340605870417
2021-07-15 00:00:00,1.3746216843825585
2021-07-15 01:00:00,1.3493761836670544
2021-07-15 02:00:00,1.3554953851852218
2021-07-15 03:00:00,1.2437445898005337
2021-07-15 04:00:00,1.189345537853889
2021-07-15 05:00:00,1.1528419643546681
2021-07-15 06:00:00,1.144688684450023
2021-07-15 07:00:00,1.1581020354337337
