,mlp2
2021-07-10 00:00:00,4.725941158158254
2021-07-10 01:00:00,4.906753355384823
2021-07-10 02:00:00,4.856065505833232
2021-07-10 03:00:00,4.929259673869542
2021-07-10 04:00:00,5.039195869528172
2021-07-10 05:00:00,5.055505845755512
2021-07-10 06:00:00,5.33011857459481
2021-07-10 07:00:00,5.5334955434951505
2021-07-10 08:00:00,5.865491836756896
2021-07-10 09:00:00,6.25012655479811
2021-07-10 10:00:00,6.32053042658025
2021-07-10 11:00:00,6.4842298242393
2021-07-10 12:00:00,6.464022402226219
2021-07-10 13:00:00,7.039810085002792
2021-07-10 14:00:00,7.5039086629821385
2021-07-10 15:00:00,7.244742669692929
2021-07-10 16:00:00,7.83891369140459
2021-07-10 17:00:00,7.945334929939473
2021-07-10 18:00:00,8.203783672204302
2021-07-10 19:00:00,8.376752707906311
2021-07-10 20:00:00,8.206370234921334
2021-07-10 21:00:00,8.344502092087971
2021-07-10 22:00:00,8.310157586023992
2021-07-10 23:00:00,8.135231071187308
2021-07-11 00:00:00,7.467732342535554
2021-07-11 01:00:00,7.561810458615976
2021-07-11 02:00:00,7.129649113411384
2021-07-11 03:00:00,6.827078241671061
2021-07-11 04:00:00,6.620983211736571
2021-07-11 05:00:00,6.837427237958374
2021-07-11 06:00:00,6.722788283605373
2021-07-11 07:00:00,6.722935018273493
2021-07-11 08:00:00,6.510834976693812
2021-07-11 09:00:00,6.64458727153847
2021-07-11 10:00:00,6.702573918778489
2021-07-11 11:00:00,6.731654216404611
2021-07-11 12:00:00,6.666583817506609
2021-07-11 13:00:00,6.504507135897915
2021-07-11 14:00:00,6.553121855840751
2021-07-11 15:00:00,6.534142665910501
2021-07-11 16:00:00,6.5441602379036095
2021-07-11 17:00:00,6.552591246461284
2021-07-11 18:00:00,6.508128756272598
2021-07-11 19:00:00,6.489341785386239
2021-07-11 20:00:00,6.511952237284481
2021-07-11 21:00:00,6.709275272203633
2021-07-11 22:00:00,7.151537972359564
2021-07-11 23:00:00,7.098568401165063
2021-07-12 00:00:00,6.265138727476912
2021-07-12 01:00:00,6.4088728809682625
2021-07-12 02:00:00,6.486385292476442
2021-07-12 03:00:00,6.443013218332512
2021-07-12 04:00:00,6.462647521122671
2021-07-12 05:00:00,6.454484355694053
2021-07-12 06:00:00,6.631691634538883
2021-07-12 07:00:00,6.441567082532011
2021-07-12 08:00:00,6.344664311671259
2021-07-12 09:00:00,6.644355000998935
2021-07-12 10:00:00,6.61233300869708
2021-07-12 11:00:00,6.6726254373454825
2021-07-12 12:00:00,6.823787240682214
2021-07-12 13:00:00,6.623322939287691
2021-07-12 14:00:00,6.778195448593977
2021-07-12 15:00:00,6.749127510467923
2021-07-12 16:00:00,6.86682345001297
2021-07-12 17:00:00,6.70478138149786
2021-07-12 18:00:00,6.854160972760793
2021-07-12 19:00:00,6.877655094778617
2021-07-12 20:00:00,7.008265086034047
2021-07-12 21:00:00,7.131407504234988
2021-07-12 22:00:00,7.232584265968425
2021-07-12 23:00:00,7.333377127063684
2021-07-13 00:00:00,6.34773594538839
2021-07-13 01:00:00,6.420165875824432
2021-07-13 02:00:00,6.5255875227320805
2021-07-13 03:00:00,6.6017185971449575
2021-07-13 04:00:00,6.747691469359908
2021-07-13 05:00:00,6.7997970359863205
2021-07-13 06:00:00,6.854034929350838
2021-07-13 07:00:00,6.8406931446640105
2021-07-13 08:00:00,6.8914029206563185
2021-07-13 09:00:00,6.842284610891579
2021-07-13 10:00:00,7.037618051518941
2021-07-13 11:00:00,7.033691270679016
2021-07-13 12:00:00,6.958259675969424
2021-07-13 13:00:00,6.840650262199523
2021-07-13 14:00:00,6.678097460759246
2021-07-13 15:00:00,6.592916221770353
2021-07-13 16:00:00,6.339489041079344
2021-07-13 17:00:00,6.19315841347386
2021-07-13 18:00:00,5.90943314625774
2021-07-13 19:00:00,5.797500093369478
2021-07-13 20:00:00,5.877131760874381
2021-07-13 21:00:00,5.939905914915924
2021-07-13 22:00:00,5.879101520876752
2021-07-13 23:00:00,6.096451558558282
2021-07-14 00:00:00,5.015020961539278
2021-07-14 01:00:00,5.015786480951687
2021-07-14 02:00:00,4.956414506800073
2021-07-14 03:00:00,4.927985880414076
2021-07-14 04:00:00,4.9263378477965425
2021-07-14 05:00:00,4.981024505316137
2021-07-14 06:00:00,5.037291135273245
2021-07-14 07:00:00,5.1743466832564184
2021-07-14 08:00:00,5.001753559422452
2021-07-14 09:00:00,4.954000607289385
2021-07-14 10:00:00,4.78766964488347
2021-07-14 11:00:00,4.8542954528226465
2021-07-14 12:00:00,4.8615081143072905
2021-07-14 13:00:00,5.090714035925483
2021-07-14 14:00:00,4.971973533729112
2021-07-14 15:00:00,5.176618565555336
2021-07-14 16:00:00,5.200659452446595
2021-07-14 17:00:00,5.15596817418418
2021-07-14 18:00:00,5.419364553629508
2021-07-14 19:00:00,5.513470715243509
2021-07-14 20:00:00,5.256889413972619
2021-07-14 21:00:00,5.291535509613617
2021-07-14 22:00:00,5.184296826183964
2021-07-14 23:00:00,5.285545982693612
2021-07-15 00:00:00,4.7937530264614105
2021-07-15 01:00:00,4.85955600392349
2021-07-15 02:00:00,4.9354799493528985
2021-07-15 03:00:00,4.892508685036919
2021-07-15 04:00:00,5.015683005760634
2021-07-15 05:00:00,4.973762346205457
2021-07-15 06:00:00,5.0836704260207615
2021-07-15 07:00:00,4.9477624443857575
2021-07-15 08:00:00,5.001647666258925
2021-07-15 09:00:00,5.018811641199107
2021-07-15 10:00:00,5.010584038793208
2021-07-15 11:00:00,5.000459722971875
