,ML
2021-07-10 00:00:00,1.220846284050216
2021-07-10 01:00:00,1.203740737925766
2021-07-10 02:00:00,1.1943670296138333
2021-07-10 03:00:00,1.185475946831503
2021-07-10 04:00:00,1.1768433071487292
2021-07-10 05:00:00,1.1691932677034853
2021-07-10 06:00:00,1.1564201141823531
2021-07-10 07:00:00,1.1468235225609293
2021-07-10 08:00:00,1.1413586118549712
2021-07-10 09:00:00,1.1190553191462864
2021-07-10 10:00:00,1.1109114400675473
2021-07-10 11:00:00,1.0799874786505217
2021-07-10 12:00:00,1.1384550936052236
2021-07-10 13:00:00,1.1282825513001558
2021-07-10 14:00:00,1.1453997616646796
2021-07-10 15:00:00,1.1592708352424559
2021-07-10 16:00:00,1.2580218393276812
2021-07-10 17:00:00,1.379148881392524
2021-07-10 18:00:00,1.4974385668646268
2021-07-10 19:00:00,1.5714291710369703
2021-07-10 20:00:00,1.5633245927050916
2021-07-10 21:00:00,1.5569719183769892
2021-07-10 22:00:00,1.6072862837585724
2021-07-10 23:00:00,1.6415806439337026
2021-07-11 00:00:00,2.391053638104429
2021-07-11 01:00:00,2.4466806753561894
2021-07-11 02:00:00,2.4778561884451964
2021-07-11 03:00:00,2.5827149429373986
2021-07-11 04:00:00,2.616551729803085
2021-07-11 05:00:00,2.676652923514449
2021-07-11 06:00:00,2.7287925518972935
2021-07-11 07:00:00,2.771361002510478
2021-07-11 08:00:00,2.812340786943822
2021-07-11 09:00:00,2.858840871361192
2021-07-11 10:00:00,2.8731699302927183
2021-07-11 11:00:00,2.860917837155677
2021-07-11 12:00:00,2.8017288118468002
2021-07-11 13:00:00,2.7962349786029526
2021-07-11 14:00:00,2.7064913942666786
2021-07-11 15:00:00,2.694187791137997
2021-07-11 16:00:00,2.6910166024654094
2021-07-11 17:00:00,2.676208930094419
2021-07-11 18:00:00,2.653484318203625
2021-07-11 19:00:00,2.632622053264351
2021-07-11 20:00:00,2.6093052705181607
2021-07-11 21:00:00,2.5940721105597495
2021-07-11 22:00:00,2.5755745546190414
2021-07-11 23:00:00,2.5534582208298295
2021-07-12 00:00:00,2.4783486774921055
2021-07-12 01:00:00,2.480130931682755
2021-07-12 02:00:00,2.469412499529456
2021-07-12 03:00:00,2.457227492025249
2021-07-12 04:00:00,2.4528382343835187
2021-07-12 05:00:00,2.4384472361037366
2021-07-12 06:00:00,2.375897370412435
2021-07-12 07:00:00,2.3483497376241305
2021-07-12 08:00:00,2.3133748767930813
2021-07-12 09:00:00,2.2576859391020836
2021-07-12 10:00:00,2.198984562598702
2021-07-12 11:00:00,2.150206075065892
2021-07-12 12:00:00,2.006659375176622
2021-07-12 13:00:00,1.9840651316399776
2021-07-12 14:00:00,1.960017543824715
2021-07-12 15:00:00,1.9372085784084259
2021-07-12 16:00:00,1.9329143749581446
2021-07-12 17:00:00,1.913503276835092
2021-07-12 18:00:00,1.8842916420486244
2021-07-12 19:00:00,1.8602695721569267
2021-07-12 20:00:00,1.8213615280104196
2021-07-12 21:00:00,1.7927161666387017
2021-07-12 22:00:00,1.7638975883820451
2021-07-12 23:00:00,1.7183488156555051
2021-07-13 00:00:00,1.5632061289178614
2021-07-13 01:00:00,1.5439438464047037
2021-07-13 02:00:00,1.52836087314932
2021-07-13 03:00:00,1.5073629867676976
2021-07-13 04:00:00,1.4902356987265086
2021-07-13 05:00:00,1.4699118329975362
2021-07-13 06:00:00,1.4565297467016414
2021-07-13 07:00:00,1.439945948049877
2021-07-13 08:00:00,1.4290657598020575
2021-07-13 09:00:00,1.4128822092241828
2021-07-13 10:00:00,1.3942031845171465
2021-07-13 11:00:00,1.377076295933654
2021-07-13 12:00:00,1.2599735894030966
2021-07-13 13:00:00,1.2472882060076171
2021-07-13 14:00:00,1.2373276003313964
2021-07-13 15:00:00,1.2219262392170271
2021-07-13 16:00:00,1.2166123300299583
2021-07-13 17:00:00,1.2025598043169397
2021-07-13 18:00:00,1.1972573512497473
2021-07-13 19:00:00,1.1882574899234875
2021-07-13 20:00:00,1.1802268604747408
2021-07-13 21:00:00,1.1711476609123375
2021-07-13 22:00:00,1.1578569120319886
2021-07-13 23:00:00,1.1503869244874867
2021-07-14 00:00:00,1.0624600409412521
2021-07-14 01:00:00,1.0514164671803827
2021-07-14 02:00:00,1.053696535384906
2021-07-14 03:00:00,1.0518090984010644
2021-07-14 04:00:00,1.0567354237441642
2021-07-14 05:00:00,1.067462247878797
2021-07-14 06:00:00,1.0763958928532562
2021-07-14 07:00:00,1.1374111773570859
2021-07-14 08:00:00,1.1548644500392677
2021-07-14 09:00:00,1.1715632520067951
2021-07-14 10:00:00,1.188020681352934
2021-07-14 11:00:00,1.2093824573273337
2021-07-14 12:00:00,1.1442199660002876
2021-07-14 13:00:00,1.1536527095089872
2021-07-14 14:00:00,1.1658680078022148
2021-07-14 15:00:00,1.1774889595175846
2021-07-14 16:00:00,1.193165334300472
2021-07-14 17:00:00,1.2086848945269133
2021-07-14 18:00:00,1.2348743091643237
2021-07-14 19:00:00,1.2634164497463651
2021-07-14 20:00:00,1.3002085812760027
2021-07-14 21:00:00,1.3433552088719047
2021-07-14 22:00:00,1.3866899407477618
